,ID,vaccinated,recovered,infected,dead,curr_location,color,num_infected
197,131,False,False,False,False,"(22, 19)",green,0
198,298,False,False,False,False,"(18, 18)",green,0
199,174,False,False,False,False,"(18, 18)",green,0
200,479,False,False,False,False,"(22, 11)",green,0
201,164,False,False,False,False,"(22, 11)",green,0
202,110,False,False,False,False,"(22, 11)",green,0
203,345,False,False,False,False,"(16, 8)",green,0
204,280,False,False,False,False,"(16, 8)",green,0
205,183,False,False,False,False,"(16, 6)",green,0
206,207,False,False,False,False,"(16, 6)",green,0
207,372,False,False,False,False,"(16, 10)",green,0
208,343,False,False,False,False,"(16, 10)",green,0
209,435,False,False,False,False,"(16, 10)",green,0
210,375,False,False,False,False,"(16, 10)",green,0
211,78,False,False,False,False,"(12, 2)",green,0
212,258,False,False,False,False,"(10, 9)",green,0
213,29,False,False,False,False,"(9, 14)",green,0
214,391,True,True,False,False,"(13, 14)",green,1
215,275,False,False,False,False,"(18, 5)",green,0
216,386,False,False,False,False,"(18, 9)",green,0
217,432,False,False,False,False,"(18, 9)",green,0
218,374,False,False,False,False,"(18, 9)",green,0
219,236,False,False,False,False,"(18, 13)",green,0
220,496,True,True,False,False,"(8, 5)",green,1
221,226,False,False,False,False,"(8, 5)",green,0
222,8,False,False,False,False,"(8, 5)",green,0
223,102,False,False,False,False,"(4, 9)",green,0
224,467,False,False,False,False,"(12, 1)",green,0
225,222,False,False,False,False,"(18, 10)",green,0
226,292,False,False,False,False,"(18, 15)",green,0
227,441,False,False,False,False,"(14, 7)",green,0
228,4,True,False,False,False,"(9, 11)",green,0
229,247,False,False,False,False,"(8, 11)",green,0
230,14,False,False,False,False,"(4, 7)",green,0
231,120,False,False,False,False,"(4, 7)",green,0
232,10,False,False,False,False,"(12, 7)",green,0
233,108,False,False,False,False,"(15, 11)",green,0
234,40,False,False,False,False,"(12, 15)",green,0
235,205,True,True,False,False,"(12, 19)",green,1
236,484,False,False,False,False,"(16, 11)",green,0
237,265,False,False,False,False,"(16, 11)",green,0
238,427,False,False,False,False,"(16, 7)",green,0
239,336,False,False,False,False,"(15, 1)",green,0
240,397,False,False,False,False,"(11, 9)",green,0
241,447,False,False,False,False,"(14, 8)",green,0
242,170,False,False,False,False,"(14, 8)",green,0
243,488,True,True,False,False,"(10, 12)",green,1
244,187,False,False,False,False,"(10, 16)",green,0
245,37,False,False,False,False,"(15, 4)",green,0
246,387,False,False,False,False,"(18, 0)",green,0
247,36,False,False,False,False,"(18, 0)",green,0
248,289,False,False,False,False,"(6, 4)",green,0
249,355,False,False,False,False,"(2, 4)",green,0
250,202,False,False,False,False,"(6, 0)",green,0
